Año;Numero de Mes;Mes;Consumo per cápita (kg/persona);Envase 0,5 kg (%);Envase 1 kg (%);Envase 2 kg (%);Envase 0,25 kg (%);Otros envases (%);Sin estampillas (%)
2011;1;Enero;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;2;Febrero;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;3;Marzo;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;4;Abril;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;5;Mayo;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;6;Junio;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;7;Julio;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;8;Agosto;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;9;Septiembre;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;10;Octubre;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;11;Noviembre;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2011;12;Diciembre;6,13;55,16;39,43;1,05;0,87;0,96;2,53
2012;1;Enero;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;2;Febrero;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;3;Marzo;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;4;Abril;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;5;Mayo;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;6;Junio;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;7;Julio;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;8;Agosto;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;9;Septiembre;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;10;Octubre;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;11;Noviembre;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2012;12;Diciembre;5,96;55,16;39,43;1,05;0,87;0,96;2,53
2013;1;Enero;6,20;55,16;39,43;1,05;0,87;0,96;2,53
2013;2;Febrero;6,20;55,16;39,43;1,05;0,87;0,96;2,53
