Año;Numero de Mes;Mes;Provincia;Ciudad;Producción (kg);Consumo interno (kg);Exportaciones (kg);Precio USD por kg;Valor FOB (USD)
2011;1;Enero;Corrientes;Colonia Liebig;2.307.533;1.334.304;195.279;$ 1,80;$ 351.502
2011;1;Enero;Corrientes;Gobernador Virasoro;2.046.303;1.183.251;173.172;$ 1,80;$ 311.710
2011;1;Enero;Misiones;Apóstoles;17.482.327;10.108.953;1.479.473;$ 1,80;$ 2.663.052
2011;1;Enero;Misiones;Montecarlo;4.370.582;2.527.238;369.868;$ 1,80;$ 665.763
2011;1;Enero;Misiones;Oberá;2.039.605;1.179.378;172.605;$ 1,80;$ 310.689
2011;1;Enero;Misiones;Otros;2.330.977;1.347.860;197.263;$ 1,80;$ 355.074
2011;1;Enero;Misiones;Santo Pipó;2.913.721;1.684.826;246.579;$ 1,80;$ 443.842
2011;2;Febrero;Corrientes;Colonia Liebig;2.307.533;1.334.304;219.689;$ 1,80;$ 395.440
2011;2;Febrero;Corrientes;Gobernador Virasoro;2.046.303;1.183.251;194.819;$ 1,80;$ 350.673
2011;2;Febrero;Misiones;Apóstoles;17.482.327;10.108.953;1.664.407;$ 1,80;$ 2.995.933
2011;2;Febrero;Misiones;Montecarlo;4.370.582;2.527.238;416.102;$ 1,80;$ 748.983
2011;2;Febrero;Misiones;Oberá;2.039.605;1.179.378;194.181;$ 1,80;$ 349.526
2011;2;Febrero;Misiones;Otros;2.330.977;1.347.860;221.921;$ 1,80;$ 399.458
2011;2;Febrero;Misiones;Santo Pipó;2.913.721;1.684.826;277.401;$ 1,80;$ 499.322
2011;3;Marzo;Corrientes;Colonia Liebig;2.307.533;1.334.304;219.689;$ 1,80;$ 395.440
2011;3;Marzo;Corrientes;Gobernador Virasoro;2.046.303;1.183.251;194.819;$ 1,80;$ 350.673
2011;3;Marzo;Misiones;Apóstoles;17.482.327;10.108.953;1.664.407;$ 1,80;$ 2.995.933
2011;3;Marzo;Misiones;Montecarlo;4.370.582;2.527.238;416.102;$ 1,80;$ 748.983
2011;3;Marzo;Misiones;Oberá;2.039.605;1.179.378;194.181;$ 1,80;$ 349.526
2011;3;Marzo;Misiones;Otros;2.330.977;1.347.860;221.921;$ 1,80;$ 399.458
2011;3;Marzo;Misiones;Santo Pipó;2.913.721;1.684.826;277.401;$ 1,80;$ 499.322
2011;4;Abril;Corrientes;Colonia Liebig;6.922.600;1.334.304;195.279;$ 1,80;$ 351.502
2011;4;Abril;Corrientes;Gobernador Virasoro;6.138.909;1.183.251;173.172;$ 1,80;$ 311.710
2011;4;Abril;Misiones;Apóstoles;52.446.981;10.108.953;1.479.473;$ 1,80;$ 2.663.052
2011;4;Abril;Misiones;Montecarlo;13.111.745;2.527.238;369.868;$ 1,80;$ 665.763
2011;4;Abril;Misiones;Oberá;6.118.814;1.179.378;172.605;$ 1,80;$ 310.689
2011;4;Abril;Misiones;Otros;6.992.931;1.347.860;197.263;$ 1,80;$ 355.074
2011;4;Abril;Misiones;Santo Pipó;8.741.163;1.684.826;246.579;$ 1,80;$ 443.842
2011;5;Mayo;Corrientes;Colonia Liebig;8.307.119;1.334.304;219.689;$ 1,80;$ 395.440
2011;5;Mayo;Corrientes;Gobernador Virasoro;7.366.691;1.183.251;194.819;$ 1,80;$ 350.673
2011;5;Mayo;Misiones;Apóstoles;62.936.376;10.108.953;1.664.407;$ 1,80;$ 2.995.933
2011;5;Mayo;Misiones;Montecarlo;15.734.094;2.527.238;416.102;$ 1,80;$ 748.983
2011;5;Mayo;Misiones;Oberá;7.342.577;1.179.378;194.181;$ 1,80;$ 349.526
2011;5;Mayo;Misiones;Otros;8.391.517;1.347.860;221.921;$ 1,80;$ 399.458
2011;5;Mayo;Misiones;Santo Pipó;10.489.396;1.684.826;277.401;$ 1,80;$ 499.322
2011;6;Junio;Corrientes;Colonia Liebig;9.230.133;1.715.534;195.279;$ 1,80;$ 351.502
2011;6;Junio;Corrientes;Gobernador Virasoro;8.185.212;1.521.323;173.172;$ 1,80;$ 311.710
