Año;Numero de Mes;Mes;Destino;Volumen Exportado (kg);Valor FOB (USD);Precio FOB por kg (USD)
2011;1;Enero;Chile;;;
2011;1;Enero;Lebanon;;;
2011;1;Enero;Others;;;
2011;1;Enero;Spain;;;
2011;1;Enero;Syria;;;
2011;1;Enero;USA;;;
2011;2;Febrero;Chile;;;
2011;2;Febrero;Lebanon;;;
2011;2;Febrero;Others;;;
2011;2;Febrero;Spain;;;
2011;2;Febrero;Syria;;;
2011;2;Febrero;USA;;;
2011;3;Marzo;Chile;;;
2011;3;Marzo;Lebanon;;;
2011;3;Marzo;Others;;;
2011;3;Marzo;Spain;;;
2011;3;Marzo;Syria;;;
2011;3;Marzo;USA;;;
2011;4;Abril;Chile;;;
2011;4;Abril;Lebanon;;;
2011;4;Abril;Others;;;
2011;4;Abril;Spain;;;
2011;4;Abril;Syria;;;
2011;4;Abril;USA;;;
2011;5;Mayo;Chile;;;
2011;5;Mayo;Lebanon;;;
2011;5;Mayo;Others;;;
2011;5;Mayo;Spain;;;
2011;5;Mayo;Syria;;;
2011;5;Mayo;USA;;;
2011;6;Junio;Chile;;;
2011;6;Junio;Lebanon;;;
2011;6;Junio;Others;;;
2011;6;Junio;Spain;;;
2011;6;Junio;Syria;;;
2011;6;Junio;USA;;;
2011;7;Julio;Chile;;;
2011;7;Julio;Lebanon;;;
2011;7;Julio;Others;;;
2011;7;Julio;Spain;;;
2011;7;Julio;Syria;;;
2011;7;Julio;USA;;;
2011;8;Agosto;Chile;;;
2011;8;Agosto;Lebanon;;;
2011;8;Agosto;Others;;;
2011;8;Agosto;Spain;;;
2011;8;Agosto;Syria;;;
2011;8;Agosto;USA;;;
2011;9;Septiembre;Chile;;;
2011;9;Septiembre;Lebanon;;;
2011;9;Septiembre;Others;;;
2011;9;Septiembre;Spain;;;
2011;9;Septiembre;Syria;;;
2011;9;Septiembre;USA;;;
2011;10;Octubre;Chile;;;
2011;10;Octubre;Lebanon;;;
2011;10;Octubre;Others;;;
2011;10;Octubre;Spain;;;
2011;10;Octubre;Syria;;;
2011;10;Octubre;USA;;;
2011;11;Noviembre;Chile;;;
2011;11;Noviembre;Lebanon;;;
2011;11;Noviembre;Others;;;
2011;11;Noviembre;Spain;;;
2011;11;Noviembre;Syria;;;
2011;11;Noviembre;USA;;;
2011;12;Diciembre;Chile;;;
2011;12;Diciembre;Lebanon;;;
2011;12;Diciembre;Others;;;
2011;12;Diciembre;Spain;;;
2011;12;Diciembre;Syria;;;
2011;12;Diciembre;USA;;;
2012;1;Enero;Chile;;;
2012;1;Enero;Lebanon;;;
2012;1;Enero;Others;;;
2012;1;Enero;Spain;;;
2012;1;Enero;Syria;;;
2012;1;Enero;USA;;;
2012;2;Febrero;Chile;;;
2012;2;Febrero;Lebanon;;;
2012;2;Febrero;Others;;;
2012;2;Febrero;Spain;;;
2012;2;Febrero;Syria;;;
2012;2;Febrero;USA;;;
2012;3;Marzo;Chile;;;
2012;3;Marzo;Lebanon;;;
2012;3;Marzo;Others;;;
2012;3;Marzo;Spain;;;
2012;3;Marzo;Syria;;;
2012;3;Marzo;USA;;;
2012;4;Abril;Chile;;;
2012;4;Abril;Lebanon;;;
2012;4;Abril;Others;;;
2012;4;Abril;Spain;;;
2012;4;Abril;Syria;;;
2012;4;Abril;USA;;;
2012;5;Mayo;Chile;;;
2012;5;Mayo;Lebanon;;;
2012;5;Mayo;Others;;;
2012;5;Mayo;Spain;;;
2012;5;Mayo;Syria;;;
2012;5;Mayo;USA;;;
2012;6;Junio;Chile;;;
2012;6;Junio;Lebanon;;;
2012;6;Junio;Others;;;
2012;6;Junio;Spain;;;
2012;6;Junio;Syria;;;
