Año;Mes;Importaciones (kg)
2011;Enero;83333
2011;Febrero;83333
2011;Marzo;83333
2011;Abril;83333
2011;Mayo;83333
2011;Junio;83333
2011;Julio;83333
2011;Agosto;83333
2011;Septiembre;83333
2011;Octubre;83333
2011;Noviembre;83333
2011;Diciembre;83333
2012;Enero;83333
2012;Febrero;83333
2012;Marzo;83333
2012;Abril;83333
2012;Mayo;83333
2012;Junio;83333
2012;Julio;83333
2012;Agosto;83333
2012;Septiembre;83333
2012;Octubre;83333
2012;Noviembre;83333
2012;Diciembre;83333
2013;Enero;83333
2013;Febrero;83333
2013;Marzo;83333
2013;Abril;83333
2013;Mayo;83333
2013;Junio;83333
2013;Julio;83333
2013;Agosto;83333
2013;Septiembre;83333
2013;Octubre;83333
2013;Noviembre;83333
2013;Diciembre;83333
2014;Enero;83333
2014;Febrero;83333
2014;Marzo;83333
2014;Abril;83333
2014;Mayo;83333
2014;Junio;83333
2014;Julio;83333
2014;Agosto;83333
2014;Septiembre;83333
2014;Octubre;83333
2014;Noviembre;83333
2014;Diciembre;83333
2015;Enero;83333
2015;Febrero;83333
2015;Marzo;83333
2015;Abril;83333
2015;Mayo;83333
2015;Junio;83333
2015;Julio;83333
2015;Agosto;83333
2015;Septiembre;83333
2015;Octubre;83333
2015;Noviembre;83333
2015;Diciembre;83333
2016;Enero;83333
2016;Febrero;83333
2016;Marzo;83333
2016;Abril;83333
2016;Mayo;83333
2016;Junio;83333
2016;Julio;83333
2016;Agosto;83333
2016;Septiembre;83333
2016;Octubre;83333
2016;Noviembre;83333
2016;Diciembre;83333
2017;Enero;83333
2017;Febrero;83333
2017;Marzo;83333
2017;Abril;83333
2017;Mayo;83333
2017;Junio;83333
2017;Julio;83333
2017;Agosto;83333
2017;Septiembre;83333
2017;Octubre;83333
2017;Noviembre;83333
2017;Diciembre;83333
2018;Enero;83333
2018;Febrero;83333
2018;Marzo;83333
2018;Abril;83333
2018;Mayo;83333
2018;Junio;83333
2018;Julio;83333
2018;Agosto;83333
2018;Septiembre;83333
2018;Octubre;83333
2018;Noviembre;83333
2018;Diciembre;83333
2019;Enero;258333
2019;Febrero;258333
2019;Marzo;258333
2019;Abril;258333
2019;Mayo;258333
2019;Junio;258333
2019;Julio;258333
2019;Agosto;258333
2019;Septiembre;258333
2019;Octubre;258333
2019;Noviembre;258333
2019;Diciembre;258333
2020;Enero;2616667
2020;Febrero;2616667
2020;Marzo;2616667
2020;Abril;2616667
2020;Mayo;2616667
2020;Junio;2616667
2020;Julio;2616667
2020;Agosto;2616667
2020;Septiembre;2616667
2020;Octubre;2616667
2020;Noviembre;2616667
2020;Diciembre;2616667
2021;Enero;1740000
2021;Febrero;1740000
2021;Marzo;2520000
2021;Abril;3222222
2021;Mayo;3222222
2021;Junio;3222222
2021;Julio;3222222
2021;Agosto;3222222
2021;Septiembre;3222222
2021;Octubre;3222222
2021;Noviembre;3222222
2021;Diciembre;3222222
2022;Enero;1250000
2022;Febrero;1250000
2022;Marzo;1250000
2022;Abril;1250000
2022;Mayo;1250000
2022;Junio;1250000
2022;Julio;1250000
2022;Agosto;1250000
2022;Septiembre;1250000
2022;Octubre;1250000
2022;Noviembre;1250000
2022;Diciembre;1250000
2023;Enero;550000
2023;Febrero;550000
2023;Marzo;550000
2023;Abril;550000
2023;Mayo;550000
2023;Junio;550000
2023;Julio;550000
2023;Agosto;550000
2023;Septiembre;550000
2023;Octubre;550000
2023;Noviembre;550000
2023;Diciembre;550000
2024;Enero;600000
2024;Febrero;1390000
2024;Marzo;1830000
2024;Abril;1970000
2024;Mayo;763750
2024;Junio;763750
2024;Julio;763750
2024;Agosto;763750
2024;Septiembre;763750
2024;Octubre;763750
2024;Noviembre;763750
2024;Diciembre;763750
2025;Enero;1000000
2025;Febrero;1000000
2025;Marzo;1000000
2025;Abril;1000000
2025;Mayo;1000000
2025;Junio;1000000
2025;Julio;1000000
2025;Agosto;1000000
2025;Septiembre;1000000
2025;Octubre;1000000
2025;Noviembre;1000000
2025;Diciembre;1000000
