Año;Mes;Precio hoja verde (ARS/kg);Precio canchada (ARS/kg)
2017;Enero;$ 6,01;$ 22,20
2017;Febrero;$ 6,01;$ 22,20
2017;Marzo;$ 6,01;$ 22,20
2017;Abril;$ 6,01;$ 22,20
2017;Mayo;$ 6,01;$ 22,20
2017;Junio;$ 6,01;$ 22,20
2017;Julio;$ 6,01;$ 22,20
2017;Agosto;$ 6,01;$ 22,20
2017;Septiembre;$ 6,01;$ 22,20
2017;Octubre;$ 6,01;$ 22,20
2017;Noviembre;$ 6,01;$ 22,20
2017;Diciembre;$ 6,01;$ 22,20
2018;Enero;$ 6,01;$ 22,20
2018;Febrero;$ 6,01;$ 22,20
2018;Marzo;$ 6,01;$ 22,20
2018;Abril;$ 7,02;$ 26,04
2018;Mayo;$ 7,02;$ 26,04
2018;Junio;$ 7,02;$ 26,04
2018;Julio;$ 7,02;$ 26,04
2018;Agosto;$ 7,02;$ 26,04
2018;Septiembre;$ 7,02;$ 26,04
2018;Octubre;$ 8,40;$ 31,90
2018;Noviembre;$ 8,40;$ 31,90
2018;Diciembre;$ 8,40;$ 31,90
2019;Enero;$ 8,40;$ 31,90
2019;Febrero;$ 8,40;$ 31,90
2019;Marzo;$ 8,40;$ 31,90
2019;Abril;$ 11,55;$ 43,89
2019;Mayo;$ 11,55;$ 43,89
2019;Junio;$ 11,55;$ 43,89
2019;Julio;$ 11,55;$ 43,89
2019;Agosto;$ 11,55;$ 43,89
2019;Septiembre;$ 11,55;$ 43,89
2019;Octubre;$ 15,25;$ 58,10
2019;Noviembre;$ 15,25;$ 58,10
2019;Diciembre;$ 15,25;$ 58,10
2020;Enero;$ 15,25;$ 58,10
2020;Febrero;$ 15,25;$ 58,10
2020;Marzo;$ 15,25;$ 58,10
2020;Abril;$ 20,00;$ 76,00
2020;Mayo;$ 20,00;$ 76,00
2020;Junio;$ 20,00;$ 76,00
2020;Julio;$ 20,00;$ 76,00
2020;Agosto;$ 20,00;$ 76,00
2020;Septiembre;$ 20,00;$ 76,00
2020;Octubre;;
2020;Noviembre;$ 24,39;$ 92,69
2020;Diciembre;$ 24,39;$ 92,69
2021;Enero;$ 24,39;$ 92,69
2021;Febrero;$ 24,39;$ 92,69
2021;Marzo;$ 24,39;$ 92,69
2021;Abril;$ 24,39;$ 92,69
2021;Mayo;$ 24,39;$ 92,69
2021;Junio;$ 24,39;$ 92,69
2021;Julio;$ 24,39;$ 92,69
2021;Agosto;$ 24,39;$ 92,69
2021;Septiembre;$ 24,39;$ 92,69
2021;Octubre;$ 24,39;$ 92,69
2021;Noviembre;$ 24,39;$ 92,69
2021;Diciembre;$ 24,39;$ 92,69
2022;Enero;$ 24,39;$ 92,69
2022;Febrero;$ 24,39;$ 92,69
2022;Marzo;$ 24,39;$ 92,69
2022;Abril;$ 24,39;$ 92,69
2022;Mayo;$ 24,39;$ 92,69
2022;Junio;$ 24,39;$ 92,69
2022;Julio;$ 24,39;$ 92,69
2022;Agosto;$ 24,39;$ 92,69
2022;Septiembre;$ 24,39;$ 92,69
2022;Octubre;;
2022;Noviembre;$ 70,08;$ 266,30
2022;Diciembre;$ 70,08;$ 266,30
2023;Enero;$ 70,08;$ 266,30
2023;Febrero;$ 70,08;$ 266,30
2023;Marzo;$ 70,08;$ 266,30
2023;Abril;;
2023;Mayo;$ 112,00;$ 425,60
2023;Junio;$ 112,00;$ 425,60
2023;Julio;$ 120,00;$ 456,00
2023;Agosto;$ 120,00;$ 456,00
2023;Septiembre;$ 120,00;$ 456,00
2023;Octubre;;
2023;Noviembre;$ 169,36;$ 643,57
2023;Diciembre;$ 210,00;$ 798,00
2024;Enero;$ 210,00;$ 798,00
2024;Febrero;$ 240,00;$ 912,00
2024;Marzo;$ 250,00;$ 950,00
2024;Abril;$ 250,00;$ 950,00
2024;Mayo;$ 250,00;$ 950,00
2024;Junio;$ 250,00;$ 950,00
2024;Julio;$ 250,00;$ 950,00
2024;Agosto;$ 250,00;$ 950,00
2024;Septiembre;$ 250,00;$ 950,00
2024;Octubre;$ 250,00;$ 950,00
2024;Noviembre;$ 250,00;$ 950,00
2024;Diciembre;$ 250,00;$ 950,00
2025;Enero;$ 250,00;$ 950,00
2025;Febrero;$ 250,00;$ 950,00
2025;Marzo;$ 250,00;$ 950,00
2025;Abril;$ 250,00;$ 950,00
2025;Mayo;$ 250,00;$ 950,00
2025;Junio;$ 379,26;$ 950,00
2025;Julio;$ 379,26;$ 950,00
2025;Agosto;$ 379,26;$ 950,00
